sind,year,ss,seas,dps,tmax,tmin,frost,rain,sun
1981.417,1981,2,spr,92,13.8,5.1,1,257.3,882
1981.667,1981,3,sum,92,18.4,9.8,0,80.0,476
1981.917,1981,4,aut,91,17.3,6.2,0,433.9,982
1982.167,1982,1,win,90,8.2,0.6,26,223.6,1352
1982.417,1982,2,spr,92,14.5,3.3,0,116.0,632
1982.667,1982,3,sum,92,17.9,10.7,0,222.6,538
1982.917,1982,4,aut,91,16.6,6.4,0,354.5,996
1983.167,1983,1,win,90,9.1,0.5,19,200.8,1281
1983.417,1983,2,spr,92,12.1,3.4,1,218.2,785
1983.667,1983,3,sum,92,20.7,10.2,0,139.5,831
1983.917,1983,4,aut,91,16.0,5.8,5,220.0,1064
1984.167,1984,1,win,91,9.3,2.2,9,254.8,1254
1984.417,1984,2,spr,92,12.5,2.2,4,88.3,1178
1984.667,1984,3,sum,92,19.9,9.8,0,103.8,852
1984.917,1984,4,aut,91,15.5,6.0,0,394.3,518
1985.167,1985,1,win,90,8.6,-0.3,29,234.5,1501
1985.417,1985,2,spr,92,12.9,2.3,6,158.4,459
1985.667,1985,3,sum,92,17.4,8.7,0,280.0,630
1985.917,1985,4,aut,91,17.2,3.1,1,185.7,589
1986.167,1986,1,win,90,8.9,-2.7,31,229.8,788
1986.417,1986,2,spr,92,13.1,2.3,6,185.2,431
1986.667,1986,3,sum,92,17.6,10.3,0,203.0,391
1986.917,1986,4,aut,91,14.4,5.7,0,225.0,670
1987.167,1987,1,win,90,9.3,0.0,27,254.3,1338
1987.417,1987,2,spr,92,13.4,2.1,10,150.4,435
1987.667,1987,3,sum,92,17.5,9.2,0,169.8,592
1987.917,1987,4,aut,91,16.3,5.3,0,400.4,722
1988.167,1988,1,win,91,8.2,2.8,7,275.9,1393
1988.417,1988,2,spr,92,13.9,4.6,3,205.5,569
1988.667,1988,3,sum,92,16.9,10.6,0,232.7,525
1988.917,1988,4,aut,91,15.3,3.9,2,211.8,728
1989.167,1989,1,win,90,9.8,3.6,4,178.4,1349
1989.417,1989,2,spr,92,15.5,3.4,4,160.7,581
1989.667,1989,3,sum,92,19.7,9.9,0,144.0,975
1989.917,1989,4,aut,91,16.4,5.2,2,217.9,1039
1990.167,1990,1,win,90,9.9,2.9,3,329.4,1291
1990.417,1990,2,spr,92,15.7,4.6,3,59.6,578
1990.667,1990,3,sum,92,20.1,10.0,0,140.0,750
1990.917,1990,4,aut,91,15.7,5.5,0,245.4,1231
